Contrato,Protheus,Cliente,Desde,Dt. Iní. Vigência,Dt. Fim Vigência,Vl. Contratado (R$),Vl. Faturado (R$),Vl. Saldo (R$),Tipo,Situação,Vigente,Dir.,Ger.,Gerente,Objeto
002/SEME/2025,3284-0,SEME,2025-04-28,2025-04-28,2026-04-27,20532.6,17110.5,3422.1,SUSTENTAÇÃO,Vigente,Vencido,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,DISPONIBILIZAÇÃO DE REDE SEM FIO
17/2025-SGM,3286-0,SGM,2025-05-01,2025-05-01,2026-04-30,25757866.28,17865415.75,7892450.53000001,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,SUSTENTAÇÃO E MELHORIAS DE TIC
24/SEGES/2025,3303-0,SEGES,2025-07-01,2025-07-01,2026-04-30,45144753.06,35975567.52,9169185.53999998,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO E MELHORIAS DE TIC
002/2025-SMRI,3283-0,SMRI,2025-05-06,2025-05-06,2026-05-05,291484.92,164105.61,127379.31,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
111/SPOBRAS/2023,2910-2,SPOBRAS,2023-05-11,2023-05-11,2026-05-10,2799284.86,6956095.4,-4156810.54,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
602/2025-HSPM,3410-0,HSPM,2026-01-12,2026-01-12,2026-05-11,23299.5,0.0,23299.5,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,LIBERAÇÃO DE ACESSO AO SISTEMA SBPM
024/SIURB/25,3288-0,SIURB,2025-05-16,2025-05-16,2026-05-15,865637.83,332412.52,533225.31,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SERVIÇOS DE INFRAESTRUTURA EM NUVEM
015/SMSU/2025,3289-0,SMSU,2025-05-20,2025-05-20,2026-05-19,3196685.91,2034551.11,1162134.8,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC
017/2021-SMT,2739-12,SMT,2021-09-21,2026-03-21,2026-05-20,6926824.01,3188506.36,3738317.65,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,"PRORROGAÇÃO DA VIGÊNCIA POR 12 (DOZE) MESES, DE 21/03/2023 A 20/03/202"
03/SP-REGULA/2022,2803-6,SP REGULA,2022-06-07,2025-06-07,2026-06-06,1387747.86,583960.77,803787.09,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC
10/SMIT/2025,3408-0,SMIT,2025-12-08,2025-12-08,2026-06-07,184943.16,184943.16,0.0,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,INFRAESTRUTURA DE REDE DESCOMPLICA - SAPOPEMBA
273/2025,3293-0,HSPM,2025-06-12,2025-06-12,2026-06-11,2173536.0,1782453.49,391082.51,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,DESENVOLVIMENTO DAS INTEGRAÇÕES DOS SISTEMAS DE EXAMES
025/2023/SMDET,3048-3,SMDET,2023-12-15,2025-08-16,2026-06-15,442774.4,339819.76,102954.64,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,MICROSOFT OFFICE 365
04/SP-REGULA/2022,2804-6,SP REGULA,2022-06-20,2025-06-20,2026-06-19,1268998.28,964811.9,304186.38,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DO SISTEMA SISCOR
334/SMDHC/2023,3005-4,SMDHC,2023-11-01,2024-11-01,2026-06-30,966149.52,584287.24,381862.28,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,PLATAFORMA DE COLABORAÇÃO E PRODUTIVIDADE
36/SMSUB/COGEL/2022,2811-5,SMSUB,2022-07-01,2025-07-01,2026-06-30,2925058.68,1167333.6,1757725.08,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,HOSPEDAGEM SISTEMA GESTÃO DE INFRAESTRUTURA - GEOINFRA
52/SMIT/2024,3117-1,SMIT,2024-07-01,2025-07-01,2026-06-30,10936213.04,6723827.51,4212385.53,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SISTEMAS DE INFORMAÇÃO E INFRAESTRUTURA
03/SMJ/2023,3045-0,SMJ,2024-01-02,2024-01-02,2026-07-01,77327.4,53463.16,23864.24,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SERVIÇOS MICROSOFT OFFICE 365
020/SMPED/2024,3106-1,SMPED,2024-05-06,2024-05-06,2026-07-05,221393.57,130512.77,90880.8,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,PLATAFORMA DE COLABORAÇÃO E PRODUTIVIDADE
016/SP-URB/2024,3128-1,SPURBANISMO,2024-07-15,2024-07-15,2026-07-14,885111.8,622427.42,262684.38,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SUSTENTAÇÃO DE TIC
025/SEME/2022,2819-6,SEME,2022-07-20,2025-07-20,2026-07-19,2325341.05,1717381.74,607959.31,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,HOSPEDAGEM DATA CENTER
011/2023-SMTUR,2953-2,SMTUR,2023-07-24,2025-07-24,2026-07-24,53979.12,36608.36,17370.76,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SERVIÇO DE GERENCIAMENTO DE COMUNICAÇÃO DE VOZ (VOIP)
TC 025/SMSU/2025,3316-0,SMSU,2025-07-25,2025-07-25,2026-07-24,2139293.13,1335256.88,804036.25,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SERVIÇOS DE COMUNICAÇÃO DE DADOS SD-WAN
213/SME/2021,2725-12,SME,2021-07-30,2025-07-30,2026-07-29,20066458.25,13993806.32,6072651.92999999,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-1,MALDE MARIA VILAS BOAS        ,SUSTENTAÇÃO DE TIC
50/2024-SF,3210-1,SF,2024-10-31,2024-10-31,2026-07-30,1206256.86,955068.94,251187.92,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,DESENVOLVIMENTO DO SISTEMA DE BENEFÍCIOS FINANCEIROS E CREDITÍCIOS
241/SMDHC/2024,3145-3,SMDHC,2024-08-01,2025-08-01,2026-07-31,176875.2,50640.66,126234.54,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SERVIÇOS DE COMUNICAÇÃO DE VOZ VOIP
025/SEME/2024,3154-4,SEME,2024-08-13,2025-08-13,2026-08-12,2216614.8,1659985.34,556629.46,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO DE TIC
14/SUB-G/AJ/2025,3334-0,SP G,2025-08-28,2025-08-28,2026-08-27,230550.0,106852.24,123697.76,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SERVIÇOS DE MICROSOFT OFFICE 365
111/SMPED/2025,3361-0,SMPED,2025-11-13,2025-11-13,2026-09-12,215180.0,66492.95,148687.05,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SERVIÇOS DE PLATAFORMA DE COLABORAÇÃO E PRODUTIVIDADE
262/SMDHC/2024,3172-3,SMDHC,2024-09-18,2025-09-18,2026-09-17,1812303.76,986713.35,825590.41,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-3,SEBASTIÃO BORGES BARONE JUNIOR,SERVIÇOS DE ACESSO À REDE CORPORATIVA PMSP E INTERNET SD-WAN
14/2024/SMUL,3174-1,SMUL,2024-09-24,2024-09-24,2026-09-23,944220.34,497422.78,446797.56,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,PROJETO BI SMUL
41/2024-SF,3176-1,SF,2024-09-23,2025-09-24,2026-09-23,24251014.8,15975982.23,8275032.57,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,MANUTENÇÃO DE SISTEMAS DE INFORMAÇÃO
42/2024-SF,3177-2,SF,2024-09-23,2025-09-24,2026-09-23,40778857.78,22292647.43,18486210.35,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,SUSTENTAÇÃO DE INFRAESTRUTURA DE TIC
058/SMSUB/2025,3344-0,SMSUB,2025-09-25,2025-09-25,2026-09-24,21850.44,0.0,21850.44,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SUSTENTAÇÃO DE TIC
 TC 06/2025-SGM,3251-1,SGM,2025-02-01,2026-02-01,2026-09-30,823635.3,0.0,823635.3,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-4,Andre Tomiatto de Oliveira,PROJETO 1ª INFÂNCIA
16/CGM/2024,3183-3,CGM,2024-10-15,2025-10-15,2026-10-14,6110655.8,2681964.34,3428691.46,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO E MELHORIAS DE TIC
65/SMSUB/COGEL/2025,3345-0,SMSUB,2025-10-15,2025-10-15,2026-10-14,3151648.44,455721.22,2695927.22,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-1,BRUNO ITALO LOPES DOS SANTOS DE SOUZA,SERVIÇOS DE COMUNICAÇÃO DADOS - SD-WAN
07/2024-SMDET,3221-1,SMDET,2024-12-16,2025-11-20,2026-10-15,237010.29,107731.95,129278.34,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SERVIÇOS DE COMUNICAÇÃO DE DADOS – SD-WAN
35/2025-TCM,3363-0,TCM,2025-10-23,2025-10-23,2026-10-22,177599.25,27816.75,149782.5,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,DESENVOLVIMENTO DE WEB SERVICE
402/SME/2024,3227-1,SME,2024-12-27,2025-11-27,2026-10-26,4848754.73,2178308.15,2670446.58,SUSTENTAÇÃO,Vigente,Vigente,DRM,KAM-1,MALDE MARIA VILAS BOAS        ,ACESSO À REDE CORPORATIVA PMSP POR VPN SITE-TO-SITE E INTERNET
77/SMADS/2024,3191-1,SMADS,2024-10-27,2025-10-27,2026-10-26,2955035.4,1340399.33,1614636.07,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-2,PAULO ROGERIO TAVARES,SERVIÇOS DE COMUNICAÇÃO
094/FTMSP/2024,3189-4,FTM,2024-10-28,2025-10-28,2026-10-27,194696.44,94358.75,100337.69,SUSTENTAÇÃO,Vigente,Vigente,DRM,GRC-4,BEATRIZ CHRISTOFOLETI DE CASTRO,SUSTENTAÇÃO E MELHORIAS DE TIC
